ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
10232309,HY419954,09/12/2015 12:30:00 AM,072XX S RIDGEWAY AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,true,0833,008,13,65,08B,1152624,1856268,2015,02/10/2018 03:50:01 PM,41.761452123,-87.716185788,"(41.761452123, -87.716185788)"
10232311,HY419991,09/11/2015 10:25:00 PM,067XX S CALIFORNIA AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,0831,008,18,66,14,1158870,1859925,2015,02/10/2018 03:50:01 PM,41.771362227,-87.693193691,"(41.771362227, -87.693193691)"
10232312,HY419833,09/06/2015 09:00:00 PM,042XX N KEDVALE AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,PARKING LOT/GARAGE(NON.RESID.),false,false,1722,017,39,16,14,1148089,1927759,2015,02/10/2018 03:50:01 PM,41.957720382,-87.730968879,"(41.957720382, -87.730968879)"
10232314,HY419990,09/11/2015 11:52:00 PM,013XX N PAULINA ST,0860,THEFT,RETAIL THEFT,GROCERY FOOD STORE,true,false,1433,014,1,24,06,1164814,1909135,2015,02/10/2018 03:50:01 PM,41.906276004,-87.670011875,"(41.906276004, -87.670011875)"
10232315,HY420053,09/12/2015 02:40:00 AM,035XX W HURON ST,0420,BATTERY,AGGRAVATED:KNIFE/CUTTING INSTR,STREET,false,false,1121,011,27,23,04B,1152839,1904444,2015,02/10/2018 03:50:01 PM,41.893649131,-87.714125144,"(41.893649131, -87.714125144)"
11230526,JB151836,04/11/2016 12:00:00 PM,048XX N KEDZIE AVE,1152,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,BANK,false,false,1713,017,33,14,11,,,2016,02/15/2018 03:50:23 PM,,,
10232316,HY420054,09/12/2015 01:10:00 AM,049XX W QUINCY ST,0560,ASSAULT,SIMPLE,RESIDENTIAL YARD (FRONT/BACK),true,true,1533,015,28,25,08A,1143630,1898551,2015,02/10/2018 03:50:01 PM,41.877655426,-87.748094602,"(41.877655426, -87.748094602)"
10232317,HY419916,09/11/2015 11:36:00 PM,027XX N KILBOURN AVE,051A,ASSAULT,AGGRAVATED: HANDGUN,STREET,true,false,2521,025,31,20,04A,1145924,1917604,2015,02/10/2018 03:50:01 PM,41.929895659,-87.739186998,"(41.929895659, -87.739186998)"
10232319,HY420070,09/12/2015 01:41:00 AM,042XX W BARRY AVE,5130,OTHER OFFENSE,VIOLENT OFFENDER: DUTY TO REGISTER,STREET,false,false,2523,025,31,20,26,1147095,1920265,2015,02/10/2018 03:50:01 PM,41.937175335,-87.734815575,"(41.937175335, -87.734815575)"
10232320,HY420057,09/12/2015 03:00:00 AM,032XX N KEATING AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,true,true,1731,017,30,15,08B,1144258,1921103,2015,02/10/2018 03:50:01 PM,41.939528763,-87.745220973,"(41.939528763, -87.745220973)"
