Rec	Cyc	Step	TestTime	StepTime	Amphr	Watthr	Amps	Volts	State	ACImpOhms
161	1	5	0d 02:38:0.00999999977648258	0d 02:37:0.00999999977648258	0.00131	0.00538	0.00050	4.08156	D	2.26676
162	1	5	0d 02:39:0.00999999977648258	0d 02:38:0.00999999977648258	0.00132	0.00541	0.00050	4.08118	D	2.26676
163	1	5	0d 02:40:0.00999999977648258	0d 02:39:0.00999999977648258	0.00133	0.00545	0.00050	4.08080	D	2.26676
164	1	5	0d 02:41:0.00999999977648258	0d 02:40:0.00999999977648258	0.00133	0.00548	0.00050	4.08042	D	2.26676
165	1	5	0d 02:42:0.00999999977648258	0d 02:41:0.00999999977648258	0.00134	0.00551	0.00050	4.08003	D	2.26676
166	1	5	0d 02:43:0.00999999977648258	0d 02:42:0.00999999977648258	0.00135	0.00555	0.00050	4.07965	D	2.26676
167	1	5	0d 02:44:0.00999999977648258	0d 02:43:0.00999999977648258	0.00136	0.00558	0.00050	4.07942	D	2.26676
168	1	5	0d 02:45:0.00999999977648258	0d 02:44:0.00999999977648258	0.00137	0.00562	0.00050	4.07904	D	2.26676
169	1	5	0d 02:46:0.00999999977648258	0d 02:45:0.00999999977648258	0.00138	0.00565	0.00050	4.07866	D	2.26676
170	1	5	0d 02:47:0.00999999977648258	0d 02:46:0.00999999977648258	0.00138	0.00568	0.00050	4.07828	D	2.26676
171	1	5	0d 02:48:0.00999999977648258	0d 02:47:0.00999999977648258	0.00139	0.00572	0.00050	4.07782	D	2.26676
172	1	5	0d 02:49:0.00999999977648258	0d 02:48:0.00999999977648258	0.00140	0.00575	0.00050	4.07759	D	2.26676
173	1	5	0d 02:50:0.00999999977648258	0d 02:49:0.00999999977648258	0.00141	0.00579	0.00050	4.07721	D	2.26676
174	1	5	0d 02:51:0.00999999977648258	0d 02:50:0.00999999977648258	0.00142	0.00582	0.00050	4.07683	D	2.26676
175	1	5	0d 02:52:0.00999999977648258	0d 02:51:0.00999999977648258	0.00143	0.00585	0.00050	4.07652	D	2.26676
